31120887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CaseID,ResponseId,StartDate,EndDate,DOV_SPLIT_A,DOV_SPLIT_B,BNE1_1,BNE1_2,BNE1_3,BNE1_4,BNE1_5,BNE2_1,BNE2_2,BNE2_3,BNE2_4,BNE3_1,BNE3_2,BNE3_3,BNE4,complete_status,QFLAG,xparty4,xurbanicity,ppage,ppeducat,ppeduc5,ppethm,ppgender,pphhsize,pphouse4,ppinc7,ppmarit5,ppmsacat,ppreg4,pprent,ppemploy,ppstaten,ppt18ov,ppkid017,PPREG9,SSTNO,weight_PID
276,R_6dgYxNy9PCcwGYG,2/23/2024 17:22:52,2/23/2024 17:43:25,SPLIT A, ,"Heard of it, but that’s it","Heard of it, but that’s it", ,"Heard of it, but that’s it","Heard of it, but that’s it",Somewhat support,Somewhat support,Somewhat oppose,Somewhat oppose,"Yes, I know someone","Yes, I know someone","Yes, I know someone",No,qualified,1,Republican,Suburban,82,Some college,Some college or Associate degree,"White, Non-Hispanic",Female,4,One-family house detached from any other house,"$75,000 to $99,999",Widowed,Metro area,Midwest,Owned or being bought by you or someone in,Not working,IL,2,2,East-North Central,70,0.8495073
277,R_3CfdbEXMt2tZrnf,2/23/2024 14:55:33,2/23/2024 15:02:11,SPLIT A, ,"Heard of it, but that’s it",Never heard of this, ,"Heard of it, but that’s it",Very familiar,Strongly oppose,Somewhat oppose,Strongly oppose,Somewhat oppose,No,No,No, ,qualified,1,Democrat,Urban,44,HS,High school graduate (high school diploma or the equivalent GED),"Black or African American, Non-Hispanic",Male,2,One-family house detached from any other house,"$25,000 to $49,999",Never married,Metro area,Midwest,Owned or being bought by you or someone in,Working part-time,MO,2,0,West-North Central,70,0.9428642
278,R_53a96Wm1pzknzLf,2/23/2024 16:06:41,2/23/2024 16:11:41,SPLIT A, ,Somewhat familiar,Never heard of this, ,Never heard of this,Somewhat familiar,Strongly oppose,Strongly oppose,Strongly oppose,Strongly oppose,Yes,Yes,No,No,qualified,1,Something else,Rural,57,HS,High school graduate (high school diploma or the equivalent GED),"Black or African American, Non-Hispanic",Male,1,One-family condo or townhouse attached to other units,"$150,000 or more",Divorced,Metro area,Northeast,Rented for cash,Working full-time,NJ,1,0,Mid-Atlantic,70,1.1229868
279,R_1w1uVTeoY9sVEKv,2/23/2024 16:20:58,2/23/2024 16:25:33, ,SPLIT B,Very familiar, ,"Heard of it, but that’s it",Somewhat familiar,Never heard of this,Strongly oppose,Somewhat oppose,Strongly oppose,Strongly oppose,No,No,No, ,qualified,1,Democrat,Rural,27,HS,High school graduate (high school diploma or the equivalent GED),"White, Non-Hispanic",Male,3,One-family house detached from any other house,"$25,000 to $49,999",Never married,Non-metro area,South,Owned or being bought by you or someone in,Working full-time,AL,3,0,East-South Central,70,0.9390388
280,R_4cJlfDppD9GUY2l,2/23/2024 22:00:55,2/23/2024 22:05:07, ,SPLIT B,Never heard of this, ,Never heard of this,Never heard of this,Never heard of this,Strongly support,Somewhat oppose,Somewhat oppose,Somewhat oppose,No,No,No, ,qualified,1,Something else,Urban,51,Bachelor or higher,Master’s degree or above,"Other, Non-Hispanic",Female,1,One-family condo or townhouse attached to other units,"$100,000 to $149,999",Never married,Metro area,West,Owned or being bought by you or someone in,Working full-time,WA,1,0,Pacific,70,0.9799244
281,R_6fZrojUJfZ4vwNi,2/24/2024 9:00:51,2/24/2024 9:05:01, ,SPLIT B,Never heard of this, ,"Heard of it, but that’s it","Heard of it, but that’s it","Heard of it, but that’s it",Somewhat support,Somewhat support,Strongly oppose,Strongly support,Yes,Yes,Yes,No,qualified,1,Republican,Rural,51,Bachelor or higher,Bachelor’s degree,"White, Non-Hispanic",Male,4,One-family house detached from any other house,"$100,000 to $149,999",Divorced,Metro area,Northeast,Owned or being bought by you or someone in,Working full-time,NY,2,2,Mid-Atlantic,70,0.538203
282,R_7jq9D9gVFNzdYHz,2/24/2024 9:44:19,2/24/2024 9:49:04,SPLIT A, ,Somewhat familiar,"Heard of it, but that’s it", ,"Heard of it, but that’s it","Heard of it, but that’s it",Somewhat oppose,Strongly support,Somewhat oppose,Somewhat support,No,No,No, ,qualified,1,Independent,Urban,84,HS,High school graduate (high school diploma or the equivalent GED),"White, Non-Hispanic",Male,2,One-family condo or townhouse attached to other units,"$50,000 to $74,999",Now married,Non-metro area,Midwest,Owned or being bought by you or someone in,Not working,NE,2,0,West-North Central,70,1.1959239
283,R_62zgQKoIpRpGtQ9,2/23/2024 19:33:03,2/23/2024 19:41:49, ,SPLIT B,"Heard of it, but that’s it", ,"Heard of it, but that’s it","Heard of it, but that’s it",Never heard of this,Somewhat support,Strongly support,Somewhat support,Strongly support,"Yes, I know someone",No,"Yes, I know someone", ,qualified,1,Republican,Suburban,82,HS,High school graduate (high school diploma or the equivalent GED),"White, Non-Hispanic",Female,2,One-family house detached from any other house,"$50,000 to $74,999",Now married,Metro area,Midwest,Owned or being bought by you or someone in,Not working,MO,2,0,West-North Central,70,0.7626336
284,R_5hwjcpHeLmkim65,2/23/2024 19:06:45,2/23/2024 19:18:39, ,SPLIT B,"Heard of it, but that’s it", ,"Heard of it, but that’s it",Never heard of this,Never heard of this,Strongly support,Strongly support,Strongly support,Strongly support,Yes,Yes,No,No,qualified,1,Something else,Suburban,73,Some college,Some college or Associate degree,"Black or African American, Non-Hispanic",Male,2,One-family house detached from any other house,"$50,000 to $74,999",Now married,Metro area,South,Owned or being bought by you or someone in,Not working,LA,2,0,West-South Central,70,0.8942968
285,R_5ciHYcvGtqDd8pH,2/25/2024 12:20:00,2/25/2024 12:24:52, ,SPLIT B,Somewhat familiar, ,Never heard of this,Somewhat familiar,"Heard of it, but that’s it",Strongly oppose,Somewhat support,Strongly oppose,Somewhat oppose,"Yes, I know someone","Yes, I know someone","Yes, I know someone",No,qualified,1,Republican,Urban,42,Some college,Some college or Associate degree,"White, Non-Hispanic",Female,Six or more,One-family house detached from any other house,"$100,000 to $149,999",Now married,Metro area,South,Rented for cash,Working full-time,FL,2,5,South Atlantic,70,0.8461988
286,R_5OPH7mi2QH7Yjb9,2/23/2024 16:07:25,2/23/2024 16:19:16, ,SPLIT B,Never heard of this, ,"Heard of it, but that’s it",Somewhat familiar,Never heard of this,Strongly oppose,Strongly oppose,Strongly oppose,Strongly oppose,"Yes, I know someone","Yes, I know someone","Yes, I know someone",No,qualified,1,Independent,Suburban,59,Bachelor or higher,Bachelor’s degree,"White, Non-Hispanic",Female,5,One-family house detached from any other house,"$150,000 or more",Now married,Metro area,Northeast,Owned or being bought by you or someone in,Working full-time,CT,5,0,New England,70,1.2444504
287,R_4d8QhFW88vfGH0l,2/23/2024 21:40:20,2/23/2024 21:49:37,SPLIT A, ,"Heard of it, but that’s it",Somewhat familiar, ,"Heard of it, but that’s it",Never heard of this,Somewhat oppose,Somewhat oppose,Somewhat oppose,Somewhat oppose,Prefer not to answer,Prefer not to answer,Prefer not to answer, ,qualified,1,Independent,Urban,70,Bachelor or higher,Master’s degree or above,"Other, Non-Hispanic",Male,4,One-family condo or townhouse attached to other units,"$150,000 or more",Now married,Metro area,West,Owned or being bought by you or someone in,Not working,WA,4,0,Pacific,70,1.6791645
288,R_7mgDVlPhK20hZuh,2/23/2024 15:36:17,2/23/2024 15:40:09, ,SPLIT B,Somewhat familiar, ,Somewhat familiar,Somewhat familiar,Very familiar,Strongly oppose,Strongly oppose,Strongly oppose,Strongly oppose,"Yes, I know someone","Yes, I know someone",No,No,qualified,1,Democrat,Suburban,39,Some college,Some college or Associate degree,Hispanic,Female,2,Building with 2 or more apartments,"$100,000 to $149,999",Now married,Metro area,Northeast,Owned or being bought by you or someone in,Working part-time,PA,2,0,Mid-Atlantic,70,1.1306921
289,R_71GrWLX5ad5OMaB,2/24/2024 14:46:57,2/24/2024 15:00:00, ,SPLIT B,Somewhat familiar, ,Somewhat familiar,Somewhat familiar,Somewhat familiar,Somewhat oppose,Somewhat oppose,Somewhat oppose,Somewhat oppose,No,No,No, ,qualified,1,Independent,Urban,37,Bachelor or higher,Bachelor’s degree,"Black or African American, Non-Hispanic",Male,5,One-family house detached from any other house,"$100,000 to $149,999",Now married,Metro area,South,Owned or being bought by you or someone in,Working full-time,OK,2,3,West-South Central,70,1.7704133
290,R_763joH0ZgfHjIxs,2/23/2024 16:42:49,2/23/2024 16:48:06, ,SPLIT B,"Heard of it, but that’s it", ,Never heard of this,Never heard of this,"Heard of it, but that’s it",Strongly support,Strongly support,Skipped,Strongly support,Yes,No,No, ,qualified,1,Something else,Urban,58,Some college,Some college or Associate degree,"White, Non-Hispanic",Male,4,Building with 2 or more apartments,"$10,000 to $24,999",Now married,Metro area,West,Rented for cash,Not working,CA,3,1,Pacific,70,0.5667343
291,R_7JQOYiJmXIsgAyl,2/23/2024 17:50:53,2/23/2024 21:17:56, ,SPLIT B,"Heard of it, but that’s it", ,Somewhat familiar,"Heard of it, but that’s it",Somewhat familiar,Somewhat oppose,Skipped,Somewhat oppose,Somewhat support,No,No,Yes, ,qualified,1,Democrat,Rural,58,Some college,Some college or Associate degree,"Black or African American, Non-Hispanic",Male,4,One-family house detached from any other house,"$150,000 or more",Now married,Metro area,South,Owned or being bought by you or someone in,Working full-time,TX,4,0,West-South Central,70,0.7989091
292,R_6nYYRZqpLcMuDM2,2/23/2024 19:16:30,2/23/2024 19:24:16, ,SPLIT B,Never heard of this, ,Very familiar,Very familiar,Never heard of this,Strongly oppose,Strongly oppose,Strongly oppose,Strongly oppose,"Yes, I know someone","Yes, I know someone","Yes, I know someone",No,qualified,1,Democrat,Urban,54,HS,High school graduate (high school diploma or the equivalent GED),Hispanic,Female,1,Building with 2 or more apartments,"$150,000 or more",Divorced,Metro area,Northeast,Rented for cash,Working full-time,NY,1,0,Mid-Atlantic,70,1.2728676
293,R_7VvX6nMI5nKVikb,2/23/2024 15:35:16,2/23/2024 15:42:47,SPLIT A, ,Never heard of this,Somewhat familiar, ,Somewhat familiar,Never heard of this,Somewhat oppose,Strongly support,Somewhat oppose,Strongly oppose,No,No,Yes, ,qualified,1,Independent,Urban,57,Some college,Some college or Associate degree,"White, Non-Hispanic",Male,2,Building with 2 or more apartments,"$75,000 to $99,999",Now married,Metro area,Midwest,Owned or being bought by you or someone in,Working full-time,IL,2,0,East-North Central,70,0.8792816
294,R_65a4Afm6XIphNeh,2/24/2024 14:28:54,2/24/2024 14:45:21, ,SPLIT B,Very familiar, ,Somewhat familiar,Never heard of this,"Heard of it, but that’s it",Strongly oppose,Strongly support,Somewhat oppose,Somewhat oppose,Yes,Yes,Yes,No,qualified,1,Republican,Urban,82,Bachelor or higher,Master’s degree or above,"White, Non-Hispanic",Male,3,One-family house detached from any other house,"$50,000 to $74,999",Now married,Metro area,South,Owned or being bought by you or someone in,Not working,GA,3,0,South Atlantic,70,0.5499562
295,R_1DORrQkinDneYEz,2/24/2024 5:59:15,2/24/2024 6:06:46,SPLIT A, ,"Heard of it, but that’s it",Somewhat familiar, ,"Heard of it, but that’s it",Never heard of this,Somewhat support,Somewhat support,Somewhat oppose,Somewhat oppose,Yes,Yes,No,No,qualified,1,Independent,Suburban,70,HS,High school graduate (high school diploma or the equivalent GED),"White, Non-Hispanic",Male,2,One-family house detached from any other house,"$25,000 to $49,999",Now married,Metro area,Midwest,Owned or being bought by you or someone in,Not working,IN,2,0,East-North Central,70,1.0856788
296,R_3OVkLconmgjrCCs,2/25/2024 9:27:31,2/25/2024 9:31:21, ,SPLIT B,Never heard of this, ,"Heard of it, but that’s it","Heard of it, but that’s it",Never heard of this,Somewhat support,Strongly oppose,Strongly oppose,Strongly support,"Yes, I know someone","Yes, I know someone",No,No,qualified,1,Independent,Suburban,35,Some college,Some college or Associate degree,"White, Non-Hispanic",Female,2,One-family house detached from any other house,"$75,000 to $99,999",Never married,Metro area,West,Owned or being bought by you or someone in,Working full-time,CA,2,0,Pacific,70,1.5482386
297,R_7IOWVcJFUiePl6N,2/23/2024 19:04:26,2/23/2024 19:10:28,SPLIT A, ,"Heard of it, but that’s it",Somewhat familiar, ,"Heard of it, but that’s it",Somewhat familiar,Strongly support,Somewhat oppose,Somewhat oppose,Somewhat oppose,"Yes, I have",No,No, ,qualified,1,Republican,Rural,70,Less than HS,No high school diploma or GED,"White, Non-Hispanic",Female,2,"Other (mobile home, boat, RV, van, etc.)","$25,000 to $49,999",Now married,Non-metro area,South,Owned or being bought by you or someone in,Not working,KY,2,0,East-South Central,70,1.3831403
298,R_380hI6fnf4ClGdX,2/23/2024 15:15:34,2/23/2024 15:21:02, ,SPLIT B,Very familiar, ,"Heard of it, but that’s it",Never heard of this,Never heard of this,Strongly oppose,Strongly support,Somewhat oppose,Strongly support,No,"Yes, I have",No,No,qualified,1,Republican,Urban,78,Bachelor or higher,Master’s degree or above,"Other, Non-Hispanic",Female,2,One-family house detached from any other house,"$150,000 or more",Now married,Metro area,West,Owned or being bought by you or someone in,Not working,CA,2,0,Pacific,70,1.2996674
299,R_1aIRgzhJPfpGu5P,2/23/2024 16:43:53,2/23/2024 16:50:12, ,SPLIT B,Somewhat familiar, ,"Heard of it, but that’s it",Never heard of this,Somewhat familiar,Strongly oppose,Somewhat oppose,Somewhat oppose,Somewhat oppose,No,Yes,No,No,qualified,1,Democrat,Suburban,80,Bachelor or higher,Bachelor’s degree,"White, Non-Hispanic",Male,2,One-family house detached from any other house,"$150,000 or more",Now married,Metro area,West,Owned or being bought by you or someone in,Working part-time,CO,2,0,Mountain,70,0.6073099
300,R_6m1s4ECazJcekoa,2/23/2024 18:07:11,2/23/2024 18:13:15, ,SPLIT B,Somewhat familiar, ,Never heard of this,Never heard of this,Somewhat familiar,Somewhat oppose,Somewhat support,Somewhat support,Strongly support,Yes,Yes,No,No,qualified,1,Republican,Suburban,64,Bachelor or higher,Master’s degree or above,"White, Non-Hispanic",Male,3,One-family house detached from any other house,"$150,000 or more",Now married,Metro area,South,Owned or being bought by you or someone in,Not working,TX,2,1,West-South Central,70,0.7116311
301,R_6L16xiTlsUY5k8F,2/23/2024 16:00:02,2/23/2024 16:06:47, ,SPLIT B,"Heard of it, but that’s it", ,Never heard of this,"Heard of it, but that’s it",Never heard of this,Somewhat support,Somewhat support,Strongly support,Somewhat oppose,No,No,Yes, ,qualified,1,Independent,Suburban,76,HS,High school graduate (high school diploma or the equivalent GED),"White, Non-Hispanic",Male,1,One-family house detached from any other house,"$75,000 to $99,999",Widowed,Metro area,Northeast,Owned or being bought by you or someone in,Working part-time,CT,1,0,New England,70,1.5019801
302,R_3QRqgYkchhaFo0l,2/24/2024 7:42:44,2/24/2024 7:48:25, ,SPLIT B,"Heard of it, but that’s it", ,Somewhat familiar,Never heard of this,Never heard of this,Somewhat oppose,Somewhat support,Somewhat oppose,Somewhat oppose,"Yes, I know someone","Yes, I know someone","Yes, I know someone",No,qualified,1,Republican,Suburban,22,HS,High school graduate (high school diploma or the equivalent GED),"White, Non-Hispanic",Female,4,One-family house detached from any other house,"$10,000 to $24,999",Never married,Metro area,Northeast,Owned or being bought by you or someone in,Working part-time,PA,3,1,Mid-Atlantic,70,0.7518781
303,R_5j82HLE2MGTgBh7,2/24/2024 6:48:26,2/24/2024 6:53:41, ,SPLIT B,"Heard of it, but that’s it", ,"Heard of it, but that’s it",Somewhat familiar,Never heard of this,Somewhat oppose,Somewhat support,Strongly oppose,Strongly oppose,No,No,"Yes, I know someone", ,qualified,1,Republican,Rural,58,Some college,Some college or Associate degree,"White, Non-Hispanic",Female,2,One-family house detached from any other house,"$100,000 to $149,999",Now married,Metro area,South,Owned or being bought by you or someone in,Not working,GA,2,0,South Atlantic,70,0.7423972
304,R_1Hvpo26LNIXCa6B,2/23/2024 17:25:45,2/23/2024 17:31:46,SPLIT A, ,Somewhat familiar,Somewhat familiar, ,Somewhat familiar,Never heard of this,Somewhat oppose,Somewhat support,Somewhat oppose,Strongly support,Yes,Yes,No,No,qualified,1,Republican,Rural,68,Some college,Some college or Associate degree,"White, Non-Hispanic",Male,2,One-family house detached from any other house,"$100,000 to $149,999",Divorced,Non-metro area,Northeast,Owned or being bought by you or someone in,Not working,NY,2,0,Mid-Atlantic,70,0.8714755
305,R_6Bul5R6cnNVAh8Z,2/25/2024 5:28:11,2/25/2024 5:32:28,SPLIT A, ,Never heard of this,"Heard of it, but that’s it", ,Never heard of this,Never heard of this,Strongly support,Somewhat support,Somewhat oppose,Somewhat oppose,"Yes, I know someone",No,No, ,qualified,1,Something else,Rural,35,HS,High school graduate (high school diploma or the equivalent GED),"White, Non-Hispanic",Female,5,"Other (mobile home, boat, RV, van, etc.)","Under $10,000",Never married,Non-metro area,South,Owned or being bought by you or someone in,Working full-time,MS,1,4,East-South Central,70,1.1876864
306,R_5gOcKQt7GCdhLDL,2/24/2024 8:52:36,2/24/2024 8:56:58,SPLIT A, ,Somewhat familiar,Somewhat familiar, ,"Heard of it, but that’s it",Somewhat familiar,Somewhat oppose,Strongly support,Somewhat support,Strongly oppose,No,No,No, ,qualified,1,Democrat,Urban,53,Bachelor or higher,Master’s degree or above,"White, Non-Hispanic",Male,1,One-family house detached from any other house,"$150,000 or more",Now married,Metro area,West,Owned or being bought by you or someone in,Working full-time,NM,1,0,Mountain,70,0.4865306
307,R_7GZjjIMlfNe4JGB,2/23/2024 15:38:14,2/23/2024 15:43:22,SPLIT A, ,Very familiar,Never heard of this, ,"Heard of it, but that’s it",Somewhat familiar,Strongly oppose,Strongly oppose,Strongly oppose,Somewhat support,Yes,No,No, ,qualified,1,Something else,Rural,27,HS,High school graduate (high school diploma or the equivalent GED),"White, Non-Hispanic",Male,1,One-family house detached from any other house,"$25,000 to $49,999",Never married,Non-metro area,South,Owned or being bought by you or someone in,Working full-time,TX,1,0,West-South Central,70,1.0896688
308,R_71tubrOi6C31lGO,2/24/2024 12:02:21,2/24/2024 12:13:22,SPLIT A, ,Somewhat familiar,Somewhat familiar, ,"Heard of it, but that’s it",Never heard of this,Somewhat support,Somewhat support,Somewhat support,Somewhat support,No,Yes,No,No,qualified,1,Republican,Urban,61,Bachelor or higher,Master’s degree or above,"Other, Non-Hispanic",Male,2,One-family house detached from any other house,"$100,000 to $149,999",Now married,Metro area,South,Owned or being bought by you or someone in,Working full-time,TX,2,0,West-South Central,70,0.9322594
309,R_6CpqWVGZcu7oB6H,2/24/2024 14:54:41,2/24/2024 15:00:31,SPLIT A, ,"Heard of it, but that’s it",Never heard of this, ,Never heard of this,Never heard of this,Somewhat oppose,Somewhat oppose,Somewhat oppose,Strongly support,Yes,No,No, ,qualified,1,Republican,Urban,65,Bachelor or higher,Bachelor’s degree,"White, Non-Hispanic",Male,1,Building with 2 or more apartments,"$150,000 or more",Never married,Metro area,West,Rented for cash,Working full-time,CA,1,0,Pacific,70,0.7344623
310,R_5MtctYSh9TV05dy,2/23/2024 23:14:11,2/23/2024 23:37:42,SPLIT A, ,Never heard of this,Somewhat familiar, ,"Heard of it, but that’s it",Never heard of this,Somewhat support,Somewhat support,Somewhat support,Somewhat oppose,"Yes, I have","Yes, I know someone","Yes, I know someone",No,qualified,1,Independent,Urban,61,Bachelor or higher,Bachelor’s degree,"Other, Non-Hispanic",Female,2,Building with 2 or more apartments,"$50,000 to $74,999",Divorced,Metro area,West,Rented for cash,Working full-time,CA,2,0,Pacific,70,1.6119701
311,R_5xKxExDvOvjEoyw,2/25/2024 12:42:30,2/25/2024 12:55:15, ,SPLIT B,Somewhat familiar, ,"Heard of it, but that’s it",Never heard of this,Never heard of this,Somewhat oppose,Strongly oppose,Strongly oppose,Strongly oppose,No,"Yes, I know someone",No,No,qualified,1,Democrat,Suburban,82,Bachelor or higher,Bachelor’s degree,"Black or African American, Non-Hispanic",Female,3,One-family house detached from any other house,"$150,000 or more",Divorced,Metro area,South,Owned or being bought by you or someone in,Not working,GA,3,0,South Atlantic,70,1.1590596
312,R_6DuDv7bDgj6uBTb,2/23/2024 17:47:56,2/23/2024 17:55:53,SPLIT A, ,Very familiar,Very familiar, ,Very familiar,Somewhat familiar,Strongly oppose,Strongly oppose,Strongly oppose,Strongly oppose,No,No,No, ,qualified,1,Democrat,Suburban,69,Bachelor or higher,Master’s degree or above,"White, Non-Hispanic",Female,2,One-family house detached from any other house,"$50,000 to $74,999",Now married,Metro area,Northeast,Owned or being bought by you or someone in,Not working,PA,2,0,Mid-Atlantic,70,0.5798841
313,R_1k7c1tQILI3A61K,2/23/2024 16:33:16,2/23/2024 16:36:31, ,SPLIT B,"Heard of it, but that’s it", ,Never heard of this,"Heard of it, but that’s it",Somewhat familiar,Strongly oppose,Strongly oppose,Strongly oppose,Strongly oppose,Yes,No,No, ,qualified,1,Something else,Suburban,20,Some college,Some college or Associate degree,"White, Non-Hispanic",Male,3,One-family house detached from any other house,"$100,000 to $149,999",Never married,Metro area,Midwest,Owned or being bought by you or someone in,Not working,MI,3,0,East-North Central,70,0.7273204
314,R_74iqKE7RPQftKMn,2/23/2024 15:59:09,2/23/2024 16:07:14,SPLIT A, ,Never heard of this,Very familiar, ,Somewhat familiar,Never heard of this,Strongly oppose,Strongly oppose,Strongly oppose,Strongly oppose,"Yes, I have",No,"Yes, I know someone", ,qualified,1,Democrat,Suburban,51,HS,High school graduate (high school diploma or the equivalent GED),"White, Non-Hispanic",Female,4,One-family house detached from any other house,"Under $10,000",Now married,Metro area,South,Owned or being bought by you or someone in,Working full-time,FL,3,1,South Atlantic,70,0.7398237
315,R_1SjHTPIf11Z51U9,2/23/2024 16:13:36,2/23/2024 16:18:36, ,SPLIT B,Never heard of this, ,Very familiar,Somewhat familiar,Never heard of this,Somewhat support,Strongly support,Strongly support,Strongly support,Yes,No,Yes, ,qualified,1,Republican,Rural,33,Bachelor or higher,Bachelor’s degree,"White, Non-Hispanic",Male,5,One-family house detached from any other house,"$100,000 to $149,999",Now married,Metro area,South,Owned or being bought by you or someone in,Working full-time,KY,2,3,East-South Central,70,0.6956704
316,R_7drWlwobECP3eed,2/24/2024 21:53:40,2/24/2024 21:57:29, ,SPLIT B,Never heard of this, ,"Heard of it, but that’s it",Never heard of this,"Heard of it, but that’s it",Somewhat oppose,Somewhat support,Somewhat oppose,Somewhat oppose,No,No,No, ,qualified,1,Independent,Suburban,20,Some college,Some college or Associate degree,Hispanic,Male,5,One-family house detached from any other house,"$150,000 or more",Never married,Metro area,South,Owned or being bought by you or someone in,Working part-time,FL,5,0,South Atlantic,70,2.3525286
317,R_5rPxOYuGwThTsXL,2/24/2024 6:09:05,2/24/2024 6:13:51, ,SPLIT B,Very familiar, ,Somewhat familiar,Somewhat familiar,Somewhat familiar,Strongly oppose,Somewhat oppose,Strongly oppose,Strongly oppose,No,No,No, ,qualified,1,Democrat,Urban,58,Some college,Some college or Associate degree,"White, Non-Hispanic",Male,3,One-family house detached from any other house,"$100,000 to $149,999",Never married,Metro area,South,Owned or being bought by you or someone in,Working part-time,FL,3,0,South Atlantic,70,0.4633269
318,R_57sdFWbI2aPAku1,2/23/2024 15:24:14,2/23/2024 15:29:59, ,SPLIT B,"Heard of it, but that’s it", ,Never heard of this,Never heard of this,"Heard of it, but that’s it",Strongly oppose,Somewhat support,Strongly oppose,Strongly support,Yes,Yes,Yes,No,qualified,1,Republican,Urban,43,Bachelor or higher,Bachelor’s degree,"White, Non-Hispanic",Male,1,One-family house detached from any other house,"$150,000 or more",Never married,Metro area,South,Owned or being bought by you or someone in,Working full-time,FL,1,0,South Atlantic,70,0.7564737
319,R_6PgFRnIx1CPU8sF,2/23/2024 19:57:25,2/23/2024 20:04:33,SPLIT A, ,Somewhat familiar,Never heard of this, ,Somewhat familiar,"Heard of it, but that’s it",Strongly oppose,Strongly oppose,Strongly oppose,Somewhat support,No,No,No, ,qualified,1,Democrat,Urban,45,Some college,Some college or Associate degree,Hispanic,Male,4,One-family house detached from any other house,"$100,000 to $149,999",Never married,Metro area,South,Owned or being bought by you or someone in,Working full-time,TX,4,0,West-South Central,70,0.7293516
320,R_7zI8a3eCi8AKM5X,2/23/2024 18:56:03,2/23/2024 19:11:53,SPLIT A, ,Never heard of this,Never heard of this, ,Never heard of this,Never heard of this,Strongly oppose,Somewhat oppose,Strongly oppose,Somewhat support,Yes,No,No, ,qualified,1,Independent,Urban,45,HS,High school graduate (high school diploma or the equivalent GED),"White, Non-Hispanic",Male,1,One-family house detached from any other house,"$25,000 to $49,999",Never married,Metro area,Northeast,Owned or being bought by you or someone in,Not working,CT,1,0,New England,70,1.0086778
321,R_6fpXFy6QQBTr4fG,2/24/2024 6:47:51,2/24/2024 7:02:59, ,SPLIT B,"Heard of it, but that’s it", ,Never heard of this,"Heard of it, but that’s it",Never heard of this,Somewhat oppose,Somewhat support,Somewhat oppose,Strongly support,Yes,No,No, ,qualified,1,Independent,Suburban,65,Bachelor or higher,Master’s degree or above,"White, Non-Hispanic",Male,5,One-family house detached from any other house,"$150,000 or more",Now married,Metro area,South,Owned or being bought by you or someone in,Working full-time,FL,4,1,South Atlantic,70,1.1421062
322,R_71WPHtTVsDdZtq0,2/24/2024 21:45:54,2/24/2024 21:53:30,SPLIT A, ,Very familiar,Somewhat familiar, ,"Heard of it, but that’s it","Heard of it, but that’s it",Strongly oppose,Strongly oppose,Strongly oppose,Strongly oppose,Yes,Yes,No,No,qualified,1,Democrat,Suburban,86,Bachelor or higher,Master’s degree or above,"White, Non-Hispanic",Male,2,Building with 2 or more apartments,"$100,000 to $149,999",Now married,Metro area,Northeast,Rented for cash,Not working,MA,2,0,New England,70,0.555504
323,R_18NBh2vswUVdZtd,2/23/2024 16:13:28,2/23/2024 16:18:04,SPLIT A, ,Somewhat familiar,Never heard of this, ,"Heard of it, but that’s it",Somewhat familiar,Somewhat oppose,Somewhat support,Skipped,Somewhat oppose,"Yes, I know someone",No,No, ,qualified,1,Republican,Suburban,59,HS,High school graduate (high school diploma or the equivalent GED),"White, Non-Hispanic",Female,3,One-family house detached from any other house,"$50,000 to $74,999",Never married,Metro area,South,Owned or being bought by you or someone in,Working full-time,FL,3,0,South Atlantic,70,0.7361807
324,R_7J5bkuONmI82KbM,2/23/2024 14:55:20,2/23/2024 15:00:21, ,SPLIT B,Never heard of this, ,"Heard of it, but that’s it","Heard of it, but that’s it",Never heard of this,Somewhat support,Somewhat support,Strongly oppose,Strongly support,No,Yes,No,No,qualified,1,Something else,Suburban,46,HS,High school graduate (high school diploma or the equivalent GED),"White, Non-Hispanic",Male,2,Building with 2 or more apartments,"$10,000 to $24,999",Divorced,Metro area,Northeast,Rented for cash,Not working,PA,2,0,Mid-Atlantic,70,0.6651679
325,R_5iktzwo6Qj5FzUo,2/23/2024 23:14:58,2/23/2024 23:22:56,SPLIT A, ,Very familiar,Very familiar, ,Very familiar,Very familiar,Strongly oppose,Somewhat support,Strongly oppose,Strongly oppose,Yes,Prefer not to answer,Yes, ,qualified,1,Republican,Suburban,38,Bachelor or higher,Bachelor’s degree,"Black or African American, Non-Hispanic",Male,2,One-family condo or townhouse attached to other units,"$75,000 to $99,999",Separated,Metro area,South,Owned or being bought by you or someone in,Working part-time,MD,2,0,South Atlantic,70,1.2184913
326,R_14nRuZozO3xVKJt,2/23/2024 20:00:21,2/23/2024 20:08:56,SPLIT A, ,"Heard of it, but that’s it",Never heard of this, ,"Heard of it, but that’s it",Never heard of this,Strongly oppose,Strongly oppose,Strongly oppose,Strongly oppose,"Yes, I know someone",No,"Yes, I know someone", ,qualified,1,Democrat,Urban,45,HS,High school graduate (high school diploma or the equivalent GED),"White, Non-Hispanic",Female,2,One-family house detached from any other house,"$25,000 to $49,999",Now married,Metro area,Midwest,Owned or being bought by you or someone in,Working full-time,KS,2,0,West-North Central,70,0.5937178
